Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,591.68",-0.1%,0.3%,-0.8%,"$7,552,637,397","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,880.28",-0.2%,0.0%,-3.1%,"$6,857,696,899","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$0.999983,-0.0%,-0.0%,-0.0%,"$16,989,100,848","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.54,-0.3%,1.1%,2.6%,"$658,827,895","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$0.999446,-0.0%,-0.1%,-0.1%,"$2,363,846,920","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475214,-0.1%,-0.2%,-2.9%,"$543,542,820","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,879.71",-0.2%,0.0%,-3.1%,"$20,531,706","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293138,-0.1%,1.1%,0.0%,"$168,396,453","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065250073926,-0.2%,-0.0%,-5.4%,"$155,284,575","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.93,-0.4%,1.1%,14.0%,"$404,577,038","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.79,-0.1%,-0.3%,-8.3%,"$886,465,422","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077318893559,-0.1%,-0.1%,-0.3%,"$174,131,123","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.738343,-0.8%,-0.9%,5.1%,"$277,047,880","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.25,-0.9%,2.5%,-2.2%,"$89,902,943","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.50,-0.3%,0.2%,-1.1%,"$279,741,881","$5,337,719,307","$5,764,181,256",0.93,
