Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,606.43",0.2%,0.3%,-0.7%,"$12,183,606,222","$594,236,915,272","$642,349,273,502",0.93,
,2,Ethereum ETH,"$1,883.31",0.1%,0.1%,-2.9%,"$6,852,584,937","$226,325,363,409","$226,325,363,409",1.00,
,3,Tether USDT,$0.999439,0.0%,-0.1%,-0.1%,"$14,442,263,697","$83,317,851,053","$83,317,851,053",1.00,
,4,BNB BNB,$250.01,0.4%,1.4%,3.2%,"$679,061,719","$38,944,755,083","$49,975,562,038",0.78,
,5,USD Coin USDC,$1.00,0.1%,0.1%,0.1%,"$3,067,416,273","$27,400,308,661","$27,400,308,662",1.00,
,6,XRP XRP,$0.475242,0.3%,0.0%,-3.0%,"$547,831,143","$24,957,292,939","$47,497,809,951",0.53,
,7,Lido Staked Ether STETH,"$1,882.05",0.0%,0.2%,-3.0%,"$21,177,643","$14,349,827,374","$14,350,176,345",1.00,
,8,Cardano ADA,$0.293034,-0.3%,0.9%,0.1%,"$176,231,645","$10,271,467,691","$13,189,207,343",0.78,
,9,Dogecoin DOGE,$0.065345405495,0.2%,0.3%,-4.9%,"$157,192,939","$9,152,610,031","$9,152,618,522",1.00,
,10,Solana SOL,$22.04,-0.3%,1.6%,14.6%,"$416,744,766","$8,885,965,743","$12,183,957,863",0.73,
,11,Litecoin LTC,$96.89,0.0%,-0.4%,-8.1%,"$898,566,263","$7,104,061,448","$8,136,436,401",0.87,
,12,Polygon MATIC,$0.745029,-0.4%,0.4%,6.9%,"$274,493,835","$6,948,365,278","$7,455,752,282",0.93,
,13,TRON TRX,$0.077368920708,0.2%,0.1%,-0.2%,"$176,746,503","$6,944,144,074","$6,944,144,764",1.00,
,14,Polkadot DOT,$5.30,0.6%,3.3%,-1.0%,"$88,590,775","$6,625,486,492","$7,053,752,245",0.94,
,15,Bitcoin Cash BCH,$275.42,-0.0%,0.5%,-0.1%,"$275,673,587","$5,369,148,071","$5,798,154,593",0.93,
