Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,611.08",-0.0%,0.5%,-0.7%,"$10,764,252,487","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,882.11",-0.1%,0.2%,-3.0%,"$5,302,283,221","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$1.00,0.1%,0.1%,0.1%,"$10,181,147,530","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.71,-0.2%,1.1%,2.7%,"$647,249,603","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$0.999790,-0.0%,-0.0%,-0.0%,"$3,034,468,483","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475284,-0.1%,-0.1%,-2.9%,"$545,449,414","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,882.01",-0.1%,0.2%,-3.0%,"$20,553,730","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293421,0.0%,1.2%,0.1%,"$168,163,672","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065286828732,-0.2%,0.1%,-5.4%,"$155,163,514","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.94,-0.5%,1.6%,14.0%,"$407,613,399","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.95,0.0%,-0.0%,-8.1%,"$526,766,056","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077370170804,-0.1%,-0.0%,-0.2%,"$177,110,244","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.738899,-0.7%,-0.8%,5.2%,"$276,945,221","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.25,-0.7%,2.7%,-2.1%,"$89,608,346","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.45,-0.4%,0.3%,-1.1%,"$279,787,310","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,573.75",-0.0%,0.3%,-0.9%,"$91,292,202","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.17,-0.5%,-3.3%,0.7%,"$145,007,970","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007539879,-0.2%,-0.3%,-2.4%,"$65,158,972","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999709,0.0%,-0.1%,-0.0%,"$80,618,958","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.8%,1.3%,-3.8%,"$71,892,635","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999925,-0.2%,0.0%,0.1%,"$1,142,321,993","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,0.0%,0.7%,2.4%,"$601,021","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.24,-0.1%,1.1%,-4.9%,"$87,399,145","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$163.94,-0.2%,-0.3%,-1.5%,"$58,938,527","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999168,-0.1%,0.0%,-0.1%,"$1,811,766,966","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.22,-0.1%,-0.5%,-5.9%,"$52,845,585","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.86,-0.2%,-0.1%,-3.8%,"$81,001,776","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096881167231,-0.2%,-3.0%,-6.5%,"$43,601,451","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.32,-0.1%,0.9%,-2.1%,"$3,308,637","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,0.0%,-2.1%,-3.4%,"$5,631,872","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.8%,-6.3%,"$62,576,151","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.6%,1.9%,-5.6%,"$13,573,614","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.3%,-2.2%,-11.5%,"$17,276,681","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048663229816,0.0%,2.0%,-0.4%,"$15,027,599","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057383399264,-0.4%,2.4%,-0.8%,"$4,108,630","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.76,0.3%,0.1%,-4.6%,"$15,002,027","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.06,0.1%,-0.3%,-8.1%,"$48,570,187","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.1%,0.3%,-2.2%,"$91,614,242","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018992826197,0.0%,1.9%,-5.0%,"$33,277,954","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.6%,-5.6%,"$31,610,894","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.71,-0.2%,6.7%,-6.0%,"$106,441,100","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114287,-0.4%,-0.5%,-8.7%,"$18,729,462","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.998106,-0.0%,-0.1%,-0.1%,"$5,377,191","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,027.08",-0.1%,0.3%,-3.0%,"$8,215,662","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661450,0.3%,2.7%,-5.3%,"$22,310,952","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.62,-0.0%,0.8%,-1.3%,"$8,070,430","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109395,-0.2%,-0.2%,-12.0%,"$42,355,433","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$917.27,-0.1%,-0.8%,-6.3%,"$48,963,088","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.733084,-0.1%,0.1%,-3.0%,"$76,862,867","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423897,-0.0%,1.7%,-4.3%,"$37,732,598","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.1%,0.8%,-5.5%,"$45,799,369","$791,228,664","$5,271,996,194",0.15,
