Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,589.71",0.0%,0.3%,-0.9%,"$7,935,750,781","$594,369,558,258","$642,490,373,960",0.93,
,2,Ethereum ETH,"$1,880.54",0.0%,-0.0%,-3.1%,"$6,777,376,833","$226,054,136,716","$226,054,642,642",1.00,
,3,Tether USDT,$1.00,0.0%,-0.0%,0.0%,"$13,765,936,955","$83,385,610,164","$83,385,610,164",1.00,
,4,BNB BNB,$249.53,-0.2%,1.2%,2.4%,"$632,458,115","$38,896,586,215","$49,913,749,703",0.78,
,5,USD Coin USDC,$0.999329,0.1%,-0.1%,-0.1%,"$1,931,146,815","$27,359,992,794","$27,359,999,229",1.00,
,6,XRP XRP,$0.475227,0.1%,-0.2%,-3.3%,"$532,839,289","$24,973,724,371","$47,529,081,654",0.53,
,7,Lido Staked Ether STETH,"$1,879.23",-0.1%,-0.1%,-3.2%,"$20,518,290","$14,340,291,252","$14,340,291,252",1.00,
,8,Cardano ADA,$0.292924,0.1%,1.0%,-0.3%,"$170,714,180","$10,273,110,486","$13,191,316,796",0.78,
,9,Dogecoin DOGE,$0.065226904568,-0.0%,-0.0%,-5.6%,"$153,207,279","$9,143,553,207","$9,143,541,463",1.00,
,10,Solana SOL,$21.89,-0.4%,-0.2%,13.5%,"$394,721,704","$8,829,273,132","$12,106,224,845",0.73,
,11,Litecoin LTC,$96.81,0.1%,-0.3%,-8.4%,"$882,725,230","$7,101,471,217","$8,133,419,849",0.87,
,12,TRON TRX,$0.077366418751,0.1%,-0.1%,-0.4%,"$169,929,252","$6,946,303,687","$6,946,311,123",1.00,
,13,Polygon MATIC,$0.737113,-0.6%,-1.1%,4.5%,"$271,590,482","$6,878,092,802","$7,380,348,335",0.93,
,14,Polkadot DOT,$5.25,-0.7%,2.3%,-2.3%,"$89,798,247","$6,577,034,161","$7,002,167,997",0.94,
,15,Bitcoin Cash BCH,$274.49,-0.1%,0.1%,-0.4%,"$271,240,639","$5,338,688,866","$5,765,215,309",0.93,
,16,Wrapped Bitcoin WBTC,"$30,554.24",0.0%,0.2%,-1.1%,"$91,154,464","$4,812,271,166","$4,812,271,166",1.00,
,17,Avalanche AVAX,$13.16,-0.3%,-3.6%,0.4%,"$145,002,317","$4,552,476,292","$9,478,332,278",0.48,
,18,Shiba Inu SHIB,$0.000007526563,-0.2%,-0.7%,-2.7%,"$64,826,039","$4,435,815,256","$7,526,690,446",0.59,
,19,Dai DAI,$0.999422,-0.0%,-0.1%,-0.0%,"$80,171,831","$4,290,299,498","$4,290,299,498",1.00,
,20,Uniswap UNI,$5.31,-0.6%,1.2%,-5.3%,"$73,204,835","$4,002,627,422","$5,310,167,717",0.75,
,21,Binance USD BUSD,$0.999810,-0.0%,-0.1%,0.0%,"$1,188,620,650","$3,996,433,869","$3,996,433,869",1.00,
,22,LEO Token LEO,$4.02,-0.5%,0.6%,2.4%,"$597,224","$3,753,961,897","$3,977,518,599",0.94,
,23,Chainlink LINK,$6.23,0.0%,0.8%,-4.9%,"$87,076,859","$3,222,014,149","$6,230,930,811",0.52,
,24,Monero XMR,$163.83,-0.1%,-0.5%,-1.6%,"$58,470,090","$2,974,935,222",-,-,
,25,TrueUSD TUSD,$0.999751,0.1%,-0.1%,-0.1%,"$1,799,669,518","$2,894,321,789","$2,894,321,789",1.00,
,26,Cosmos Hub ATOM,$9.20,0.0%,-0.9%,-6.3%,"$53,493,849","$2,694,208,141",-,-,
,27,Ethereum Classic ETC,$18.86,0.0%,-0.4%,-3.9%,"$81,094,506","$2,675,576,228","$3,972,345,940",0.67,
,28,Stellar XLM,$0.096928812226,0.0%,-3.1%,-7.1%,"$43,663,162","$2,622,565,268","$4,847,195,994",0.54,
,29,OKB OKB,$43.31,-0.1%,1.0%,-1.9%,"$3,288,372","$2,598,873,514","$12,994,367,568",0.20,
,30,Toncoin  TON,$1.34,-0.0%,-2.2%,-3.6%,"$5,580,626","$1,977,163,641","$6,785,621,662",0.29,
,31,Filecoin FIL,$4.28,-0.1%,-1.2%,-6.5%,"$62,122,214","$1,865,767,302","$8,415,640,998",0.22,
,32,Internet Computer ICP,$4.14,-0.4%,1.8%,-5.6%,"$13,976,697","$1,811,096,807","$1,941,134,894",0.93,
,33,Lido DAO LDO,$1.91,-0.5%,-2.6%,-11.5%,"$17,164,881","$1,681,466,200","$1,911,631,655",0.88,
,34,Hedera HBAR,$0.048574230182,-0.3%,1.4%,-0.7%,"$15,618,842","$1,568,325,977","$2,428,684,135",0.65,
