Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,616.28",-0.0%,0.5%,-0.7%,"$12,042,397,109","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,882.17",-0.1%,0.2%,-3.0%,"$5,420,607,546","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$1.00,0.1%,0.1%,0.1%,"$10,181,147,530","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.70,-0.2%,1.1%,2.7%,"$659,741,080","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$1.00,0.0%,0.0%,0.0%,"$2,918,227,977","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475445,-0.0%,-0.1%,-2.9%,"$547,442,062","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,882.36",-0.1%,0.2%,-3.0%,"$20,558,460","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293478,0.0%,1.2%,0.1%,"$170,336,537","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065292325798,-0.1%,0.1%,-5.4%,"$154,740,470","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.95,-0.4%,1.5%,14.1%,"$407,665,455","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.84,-0.1%,-0.2%,-8.2%,"$884,796,532","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077367294132,-0.1%,0.0%,-0.2%,"$177,671,782","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.739119,-0.7%,-0.8%,5.2%,"$277,274,998","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.26,-0.7%,2.7%,-2.1%,"$89,850,654","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.53,-0.3%,0.3%,-1.1%,"$279,852,678","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,580.19",-0.0%,0.3%,-0.9%,"$91,308,136","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.17,-0.5%,-3.3%,0.7%,"$145,444,737","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007539086,-0.2%,-0.4%,-2.4%,"$65,363,327","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999709,0.0%,-0.1%,-0.0%,"$80,618,958","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.8%,1.3%,-3.8%,"$71,897,879","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$1.00,0.1%,0.1%,0.2%,"$3,865,527,221","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,0.0%,0.7%,2.4%,"$601,042","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.24,-0.1%,1.0%,-4.9%,"$85,549,660","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$164.04,-0.0%,-0.3%,-1.4%,"$59,179,956","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999557,-0.1%,0.0%,-0.0%,"$1,812,526,342","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.22,-0.0%,-0.5%,-5.8%,"$53,787,246","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.86,-0.1%,-0.1%,-3.8%,"$81,027,175","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096936990781,-0.2%,-2.9%,-6.4%,"$43,736,035","$2,621,216,274","$4,844,702,679",0.54,
