Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,593.81",-0.1%,0.4%,-0.8%,"$12,168,129,901","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,880.41",-0.2%,0.1%,-3.1%,"$6,806,351,421","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$1.00,0.1%,0.1%,0.1%,"$10,181,147,530","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.44,-0.3%,1.0%,2.6%,"$660,396,097","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$0.999569,-0.1%,-0.1%,-0.0%,"$3,037,748,815","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475174,-0.1%,-0.1%,-2.9%,"$547,876,729","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,880.68",-0.2%,0.1%,-3.1%,"$20,545,122","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293232,-0.0%,1.1%,0.0%,"$170,723,141","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065237506392,-0.2%,0.0%,-5.4%,"$155,227,136","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.93,-0.5%,1.4%,14.0%,"$407,326,062","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.75,-0.2%,-0.3%,-8.3%,"$882,468,618","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077306248613,-0.1%,-0.1%,-0.3%,"$175,000,518","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.738623,-0.8%,-0.8%,5.1%,"$276,684,600","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.25,-0.8%,2.6%,-2.2%,"$89,736,857","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.39,-0.4%,0.2%,-1.1%,"$279,665,123","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,558.30",-0.1%,0.3%,-1.0%,"$91,266,180","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.16,-0.6%,-3.4%,0.6%,"$145,402,469","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007530839,-0.3%,-0.5%,-2.5%,"$65,091,622","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999709,0.0%,-0.1%,-0.0%,"$80,618,958","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.9%,1.2%,-3.9%,"$73,288,609","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999628,-0.0%,-0.0%,0.1%,"$3,867,897,630","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,-0.1%,0.6%,2.4%,"$600,576","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.23,-0.2%,0.9%,-5.0%,"$85,482,062","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero  XMR,$163.93,-0.1%,-0.4%,-1.5%,"$60,514,439","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999915,-0.0%,0.1%,0.0%,"$1,802,812,500","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.21,-0.1%,-0.6%,-5.9%,"$53,691,057","$2,696,949,385",-,-,
