Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,610.46",-0.0%,0.5%,-0.7%,"$11,175,991,356","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,881.88",-0.1%,0.2%,-3.1%,"$6,817,586,178","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$1.00,0.1%,0.1%,0.1%,"$10,181,147,530","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.70,-0.2%,1.1%,2.7%,"$647,138,259","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$1.00,0.0%,0.0%,0.0%,"$2,885,271,051","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475330,-0.1%,-0.1%,-2.9%,"$545,469,989","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,882.00",-0.1%,0.2%,-3.0%,"$20,554,647","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293423,0.0%,1.2%,0.1%,"$169,233,195","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065279809922,-0.2%,0.1%,-5.4%,"$153,884,257","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.94,-0.5%,1.5%,14.0%,"$407,613,362","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.94,0.0%,-0.1%,-8.1%,"$526,539,408","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077350459855,-0.1%,-0.0%,-0.3%,"$177,012,690","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.738947,-0.7%,-0.8%,5.2%,"$277,017,269","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.26,-0.7%,2.7%,-2.1%,"$89,733,182","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.47,-0.4%,0.3%,-1.1%,"$279,849,412","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,573.75",-0.0%,0.3%,-0.9%,"$91,292,333","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.17,-0.5%,-3.3%,0.7%,"$145,250,116","$4,554,740,040","$9,483,045,620",0.48,
