Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,590.24",-0.1%,0.3%,-0.8%,"$8,262,581,298","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,880.27",-0.2%,0.0%,-3.1%,"$6,863,480,840","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$0.999983,-0.0%,-0.0%,-0.0%,"$16,989,100,848","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.54,-0.3%,1.1%,2.6%,"$659,323,312","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$0.999345,-0.0%,-0.1%,-0.1%,"$1,860,353,807","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475232,-0.1%,-0.2%,-2.9%,"$535,292,477","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,879.71",-0.2%,0.0%,-3.1%,"$20,531,706","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293137,-0.1%,1.1%,0.0%,"$165,368,394","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065248460390,-0.2%,-0.0%,-5.4%,"$155,312,069","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.93,-0.4%,1.1%,14.0%,"$404,818,836","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.80,-0.1%,-0.3%,-8.3%,"$886,572,176","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077317731741,-0.1%,-0.1%,-0.3%,"$174,057,779","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.738276,-0.8%,-0.9%,5.1%,"$277,049,969","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.25,-0.9%,2.5%,-2.2%,"$89,907,421","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.50,-0.3%,0.2%,-1.1%,"$279,532,923","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,553.37",-0.1%,0.2%,-1.0%,"$91,374,209","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.16,-0.5%,-3.5%,0.6%,"$145,406,724","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007527013,-0.4%,-0.7%,-2.6%,"$65,073,668","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999146,-0.0%,-0.2%,-0.1%,"$80,606,327","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.9%,1.1%,-3.9%,"$73,326,291","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999126,-0.0%,-0.2%,0.0%,"$884,264,921","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,-0.1%,1.0%,2.4%,"$600,539","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.23,-0.2%,0.9%,-5.0%,"$87,250,287","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$163.91,-0.1%,-0.4%,-1.5%,"$58,852,496","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999792,-0.0%,0.0%,0.0%,"$1,802,608,079","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.21,-0.2%,-0.9%,-6.0%,"$53,344,398","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.86,-0.1%,-0.3%,-3.8%,"$81,026,970","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096895456197,-0.3%,-3.0%,-6.5%,"$43,755,496","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.32,-0.0%,1.1%,-2.1%,"$3,292,935","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,-0.1%,-2.1%,-3.5%,"$5,582,227","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.9%,-6.3%,"$62,675,208","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.7%,1.6%,-5.7%,"$13,553,971","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.5%,-2.4%,-11.6%,"$17,313,876","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048584223104,-0.2%,1.6%,-0.5%,"$15,653,053","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057373870640,-0.5%,2.3%,-0.8%,"$4,118,046","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.52,0.1%,-0.2%,-4.9%,"$15,002,522","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.05,0.0%,-0.5%,-8.2%,"$48,061,960","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.3%,0.0%,-2.3%,"$91,783,487","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018996259430,0.1%,1.9%,-5.0%,"$33,254,415","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.5%,-5.6%,"$31,612,528","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.84,-0.2%,6.7%,-5.9%,"$106,625,744","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114383,-0.3%,-0.6%,-8.7%,"$18,838,166","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.997413,-0.1%,-0.3%,-0.2%,"$5,392,459","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,024.63",-0.2%,0.1%,-3.1%,"$8,203,239","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661572,0.3%,2.7%,-5.2%,"$22,289,114","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.59,-0.2%,0.6%,-1.4%,"$8,077,084","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109262,-0.2%,-0.3%,-12.1%,"$43,084,655","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$914.41,-0.5%,-1.0%,-6.6%,"$42,210,428","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.732033,-0.2%,-0.4%,-3.1%,"$76,371,482","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423863,-0.1%,1.6%,-4.3%,"$37,975,899","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.1%,0.7%,-5.5%,"$45,609,562","$791,228,664","$5,271,996,194",0.15,
,52,WhiteBIT Token WBT,$5.45,0.0%,1.2%,2.0%,"$11,123,121","$786,578,738","$2,183,144,135",0.36,
,53,Tezos XTZ,$0.831993,-0.2%,1.8%,-0.4%,"$14,250,471","$779,192,607",-,-,
,54,Bitcoin SV BSV,$39.64,-0.3%,-2.3%,-9.6%,"$23,480,406","$764,425,840","$833,223,232",0.92,
,55,Fantom FTM,$0.271457,-0.5%,-2.1%,-14.3%,"$70,865,798","$759,821,314","$861,847,676",0.88,
,56,Theta Network THETA,$0.757578,-0.5%,3.3%,-2.6%,"$6,919,641","$756,996,590","$756,996,590",1.00,
,57,Render RNDR,$2.01,0.1%,4.0%,-3.5%,"$26,226,387","$743,377,934","$1,070,214,518",0.69,
,58,USDD USDD,$0.999326,-0.0%,-0.0%,-0.1%,"$15,559,859","$738,264,636",-,-,
,59,ImmutableX IMX,$0.697926,-0.2%,-0.1%,-7.9%,"$334,049,625","$727,854,080","$1,399,200,720",0.52,
,60,Decentraland MANA,$0.392386,-0.3%,1.5%,-1.8%,"$34,496,478","$722,218,061","$861,253,936",0.84,
,61,Rocket Pool RPL,$36.47,0.5%,1.7%,-6.4%,"$4,836,630","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.4%,-0.1%,-10.7%,"$46,234,326","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.795598,-0.8%,-1.9%,-0.7%,"$22,980,120","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.95,-0.4%,2.2%,-4.1%,"$27,918,506","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar  USDP,$1.00,0.0%,0.2%,0.2%,"$2,082,383","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.455136,0.1%,1.8%,-9.1%,"$10,714,475","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471120,0.0%,1.5%,-4.2%,"$12,688,644","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.0%,0.7%,-5.9%,"$18,043,289","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.04,-0.7%,3.5%,8.7%,"$24,035,169","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.12,-0.4%,1.8%,-2.3%,"$30,118,377","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$8.00,0.1%,-2.2%,-6.9%,"$29,545,299","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001514910,-0.4%,0.2%,-12.9%,"$66,990,099","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032394315,-0.1%,-4.5%,0.4%,"$9,084,108","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.596912,-0.0%,-1.2%,-6.5%,"$20,916,160","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024727344800,-0.5%,0.1%,-2.3%,"$218,280,734","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.17,-0.8%,-1.0%,-6.5%,"$1,176,668","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.27,-0.6%,-0.2%,-2.7%,"$435,242","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$0.999194,-0.2%,-0.2%,0.2%,"$1,237,481","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.055010753937,-1.3%,-2.3%,-10.9%,"$1,948,690","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077796813360,-0.5%,1.5%,-2.2%,"$21,691,131","$543,159,900","$692,134,778",0.78,
