Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,605.49",0.2%,0.3%,-0.7%,"$12,034,641,249","$594,236,915,272","$642,349,273,502",0.93,
,2,Ethereum ETH,"$1,883.31",0.1%,0.1%,-2.9%,"$6,850,145,682","$226,325,363,409","$226,325,363,409",1.00,
,3,Tether USDT,$0.999439,0.0%,-0.1%,-0.1%,"$14,442,263,697","$83,317,851,053","$83,317,851,053",1.00,
,4,BNB BNB,$250.01,0.4%,1.4%,3.2%,"$679,037,686","$38,944,755,083","$49,975,562,038",0.78,
,5,USD Coin USDC,$1.00,0.1%,0.1%,0.1%,"$3,067,401,258","$27,400,308,661","$27,400,308,662",1.00,
,6,XRP XRP,$0.475215,0.3%,0.0%,-3.0%,"$553,287,837","$24,957,292,939","$47,497,809,951",0.53,
,7,Lido Staked Ether STETH,"$1,882.05",0.0%,0.2%,-3.0%,"$21,177,643","$14,349,827,374","$14,350,176,345",1.00,
,8,Cardano ADA,$0.293033,-0.3%,0.9%,0.1%,"$176,240,536","$10,271,467,691","$13,189,207,343",0.78,
,9,Dogecoin DOGE,$0.065345321476,0.2%,0.3%,-4.9%,"$157,200,096","$9,152,610,031","$9,152,618,522",1.00,
,10,Solana SOL,$22.04,-0.3%,1.6%,14.6%,"$416,705,265","$8,885,965,743","$12,183,957,863",0.73,
,11,Litecoin LTC,$96.90,0.0%,-0.4%,-8.0%,"$897,171,053","$7,104,061,448","$8,136,436,401",0.87,
,12,Polygon MATIC,$0.745058,-0.4%,0.4%,6.9%,"$274,496,197","$6,948,365,278","$7,455,752,282",0.93,
,13,TRON TRX,$0.077369179682,0.2%,0.1%,-0.2%,"$176,747,295","$6,944,144,074","$6,944,144,764",1.00,
,14,Polkadot DOT,$5.30,0.6%,3.3%,-1.0%,"$88,380,487","$6,625,486,492","$7,053,752,245",0.94,
,15,Bitcoin Cash BCH,$275.45,-0.0%,0.5%,-0.1%,"$275,790,967","$5,369,148,071","$5,798,154,593",0.93,
,16,Wrapped Bitcoin WBTC,"$30,564.17",0.1%,0.1%,-0.9%,"$90,841,042","$4,812,149,647","$4,812,149,647",1.00,
,17,Avalanche AVAX,$13.23,-0.2%,-3.3%,1.4%,"$147,836,541","$4,575,356,227","$9,525,973,958",0.48,
,18,Shiba Inu SHIB,$0.000007549260,0.3%,-0.2%,-1.9%,"$66,258,241","$4,449,679,576","$7,550,215,421",0.59,
,19,Dai DAI,$0.999479,0.0%,-0.1%,-0.1%,"$82,457,972","$4,291,202,174","$4,291,202,174",1.00,
,20,Uniswap UNI,$5.35,0.6%,1.6%,-3.2%,"$71,868,075","$4,023,153,384","$5,337,398,907",0.75,
,21,Binance USD BUSD,$0.999670,-0.0%,-0.0%,-0.1%,"$1,069,361,269","$4,002,429,387","$4,002,429,387",1.00,
,22,LEO Token LEO,$4.04,-0.2%,-1.0%,2.1%,"$751,161","$3,757,986,844","$3,981,782,911",0.94,
,23,Chainlink LINK,$6.24,-0.1%,1.1%,-4.6%,"$87,319,027","$3,222,868,595","$6,232,583,191",0.52,
,24,Monero  XMR,$164.05,-0.3%,-0.3%,-1.4%,"$60,264,153","$2,981,352,721",-,-,
,25,TrueUSD TUSD,$0.999505,-0.1%,-0.0%,-0.0%,"$1,819,290,267","$2,891,688,525","$2,891,688,525",1.00,
,26,Cosmos Hub ATOM,$9.21,0.4%,-0.9%,-5.7%,"$138,644,441","$2,692,564,590",-,-,
,27,Ethereum Classic ETC,$18.88,0.0%,-0.1%,-3.7%,"$81,981,465","$2,678,987,139","$3,977,436,343",0.67,
,28,Stellar XLM,$0.096931094173,-0.2%,-2.9%,-6.4%,"$43,055,252","$2,620,254,105","$4,842,924,325",0.54,
,29,OKB OKB,$43.32,0.0%,0.7%,-2.0%,"$3,327,225","$2,597,356,015","$12,986,780,077",0.20,
,30,Toncoin TON,$1.34,0.1%,-2.3%,-3.5%,"$5,694,172","$1,977,188,112","$6,785,705,646",0.29,
,31,Filecoin FIL,$4.30,-0.6%,-0.6%,-5.8%,"$61,790,705","$1,869,362,695","$8,431,862,602",0.22,
,32,Internet Computer ICP,$4.17,0.5%,2.4%,-4.3%,"$13,573,428","$1,822,160,369","$1,952,992,849",0.93,
,33,Lido DAO LDO,$1.92,0.0%,-1.8%,-10.9%,"$17,484,845","$1,684,260,943","$1,914,809,284",0.88,
,34,Hedera HBAR,$0.048611925630,-0.5%,2.0%,-0.4%,"$15,617,965","$1,569,916,811","$2,431,147,675",0.65,
,35,Cronos CRO,$0.057633043093,0.5%,2.6%,0.0%,"$5,354,476","$1,499,232,765","$1,719,601,457",0.87,
,36,Quant QNT,$102.30,0.2%,-0.2%,-4.8%,"$15,107,904","$1,488,606,207","$1,495,598,481",1.00,
,37,Aptos APT,$7.05,0.1%,-0.7%,-8.1%,"$48,389,590","$1,481,440,179","$7,349,686,341",0.20,
,38,Arbitrum ARB,$1.13,-0.1%,0.2%,-2.0%,"$91,565,584","$1,437,123,102","$11,271,553,741",0.13,
,39,VeChain VET,$0.018967803081,-0.0%,1.5%,-4.8%,"$32,954,336","$1,379,354,917","$1,644,891,611",0.84,
,40,NEAR Protocol NEAR,$1.34,-0.0%,-0.5%,-5.0%,"$31,888,836","$1,243,015,410","$1,334,722,333",0.93,
,41,Aave AAVE,$74.81,0.6%,6.5%,-5.1%,"$102,970,550","$1,081,394,192","$1,195,544,581",0.90,
,42,The Graph GRT,$0.114668,0.0%,-0.3%,-8.4%,"$18,779,469","$1,039,769,177","$1,145,844,625",0.91,
,43,Frax FRAX,$0.998577,0.0%,-0.1%,-0.1%,"$5,740,594","$1,002,345,754","$1,002,345,754",1.00,
,44,Rocket Pool ETH RETH,"$2,028.01",0.0%,0.3%,-2.9%,"$7,861,177","$952,472,207","$951,190,689",1.00,
,45,MultiversX EGLD,$35.61,-0.1%,0.4%,-0.6%,"$8,075,159","$915,925,694","$1,120,235,378",0.82,
,46,Stacks STX,$0.658923,-0.1%,2.4%,-5.1%,"$22,474,680","$915,261,487","$1,196,246,540",0.77,
,47,Algorand ALGO,$0.109581,0.2%,-0.5%,-11.3%,"$42,797,859","$834,400,341","$1,095,680,392",0.76,
,48,Maker MKR,$916.79,-0.1%,-1.3%,-6.4%,"$41,981,702","$825,026,928","$920,468,242",0.90,
,49,EOS EOS,$0.733562,0.0%,0.8%,-2.9%,"$78,639,257","$815,046,086",-,-,
,50,The Sandbox SAND,$0.424005,-0.2%,1.3%,-3.7%,"$37,947,545","$791,605,368","$1,270,137,217",0.62,
,51,Optimism OP,$1.23,0.1%,0.9%,-4.9%,"$47,283,408","$791,143,308","$5,271,427,463",0.15,
,52,WhiteBIT Token WBT,$5.44,-0.0%,1.0%,1.9%,"$11,302,880","$784,216,330","$2,176,587,285",0.36,
,53,Tezos XTZ,$0.832321,-0.4%,1.7%,0.4%,"$14,204,779","$780,259,006",-,-,
,54,Bitcoin SV BSV,$39.86,-0.2%,-1.3%,-9.6%,"$26,074,562","$765,500,240","$834,394,326",0.92,
,55,Fantom FTM,$0.272712,-0.2%,-2.1%,-13.2%,"$73,351,147","$762,552,932","$864,945,969",0.88,
,56,Theta Network THETA,$0.759548,-0.3%,3.9%,-1.7%,"$6,886,650","$760,119,029","$760,119,029",1.00,
,57,Render RNDR,$2.02,0.2%,5.2%,-2.5%,"$25,647,407","$745,661,492","$1,073,502,075",0.69,
,58,USDD USDD,$0.998576,0.0%,-0.1%,-0.1%,"$17,523,834","$737,416,913",-,-,
,59,ImmutableX IMX,$0.698719,0.2%,0.0%,-7.0%,"$337,048,220","$727,116,436","$1,397,782,699",0.52,
,60,Decentraland MANA,$0.393044,-0.1%,1.9%,-1.0%,"$35,045,589","$722,657,657","$861,778,160",0.84,
,61,Rocket Pool RPL,$36.30,-0.1%,1.2%,-6.5%,"$4,691,615","$709,190,444","$709,190,444",1.00,
,62,ApeCoin APE,$1.93,0.3%,0.3%,-10.1%,"$45,200,234","$708,862,896","$1,923,154,954",0.37,
,63,Curve DAO CRV,$0.801315,0.3%,-0.9%,-0.1%,"$23,011,316","$695,803,946","$2,646,684,420",0.26,
,64,Axie Infinity AXS,$5.97,-0.2%,2.5%,-3.1%,"$28,066,829","$691,068,397","$1,613,230,809",0.43,
,65,Pax Dollar USDP,$1.00,-0.1%,0.1%,0.0%,"$2,021,199","$661,800,807","$661,800,807",1.00,
,66,BitDAO BIT,$0.453954,0.2%,1.9%,-9.7%,"$10,678,276","$659,974,121","$4,362,383,014",0.15,
,67,Bitget Token BGB,$0.470059,0.5%,1.4%,-4.4%,"$12,736,048","$657,714,027","$939,590,796",0.70,
,68,Synthetix Network SNX,$2.05,-0.0%,0.4%,-5.4%,"$17,418,129","$655,384,297","$656,866,085",1.00,
,69,Kava KAVA,$1.05,-0.0%,4.8%,9.7%,"$24,305,855","$653,941,340","$653,956,036",1.00,
,70,NEO NEO,$9.14,-0.1%,1.8%,-1.8%,"$30,212,452","$643,966,335","$913,038,898",0.71,
,71,Pepe PEPE,$0.000001520593,0.1%,0.8%,-12.3%,"$66,057,125","$638,502,377","$638,502,377",1.00,
,72,Injective INJ,$7.99,-0.1%,-2.0%,-6.9%,"$29,552,573","$638,168,895","$797,655,728",0.80,
,73,eCash XEC,$0.000032405628,-0.2%,-4.8%,1.9%,"$7,450,846","$637,652,097","$688,814,679",0.93,
,74,Flow FLOW,$0.596481,0.2%,-1.7%,-5.7%,"$8,727,482","$617,564,882","$859,755,902",0.72,
,75,GALA GALA,$0.024938013888,0.3%,0.5%,-0.8%,"$227,202,681","$608,923,941","$1,246,319,991",0.49,
,76,KuCoin KCS,$6.20,-0.1%,-0.6%,-6.1%,"$1,065,621","$600,808,114","$895,643,824",0.67,
,77,Gate GT,$4.29,0.1%,0.2%,-2.3%,"$427,297","$597,074,423","$1,288,474,590",0.46,
,78,Radix XRD,$0.055809373905,-0.4%,-0.4%,-9.8%,"$1,882,474","$570,302,494","$1,340,538,230",0.43,
,79,Gemini Dollar GUSD,$0.999554,-0.1%,-0.1%,0.2%,"$1,199,366","$564,457,231","$564,752,359",1.00,
,80,Chiliz CHZ,$0.078106655631,0.2%,2.4%,-1.6%,"$19,950,903","$545,247,413","$694,794,843",0.78,
,81,Klaytn KLAY,$0.165789,-0.2%,1.0%,-5.5%,"$4,409,436","$521,944,296",-,-,
,82,IOTA MIOTA,$0.181400,-0.0%,1.0%,-2.9%,"$4,840,657","$504,230,797","$504,230,797",1.00,
,83,GMX GMX,$55.79,0.2%,0.3%,-2.7%,"$5,987,656","$494,319,199","$738,977,630",0.67,
,84,cETH CETH,$37.81,0.2%,-0.1%,-2.8%,$917.90,"$487,897,279","$487,835,114",1.00,
,85,PAX Gold PAXG,"$1,924.23",0.1%,0.8%,1.4%,"$6,802,424","$486,197,720","$486,197,720",1.00,
,86,Terra Luna Classic LUNC,$0.000083300972,0.0%,0.1%,-3.5%,"$19,913,148","$484,771,296","$569,986,227",0.85,
,87,Kaspa KAS,$0.024452696095,-0.6%,-1.5%,2.7%,"$8,876,319","$478,519,205","$701,173,920",0.68,
,88,Tether Gold XAUT,"$1,933.54",-0.0%,0.4%,0.5%,"$6,135,867","$476,782,177","$476,782,177",1.00,
,89,Tokenize Xchange TKX,$5.85,0.5%,-0.3%,-2.8%,"$6,150,463","$465,780,625","$582,254,894",0.80,
,90,Compound COMP,$67.27,-1.2%,13.6%,5.4%,"$185,435,228","$461,024,193","$672,430,609",0.69,
